,image_name,x1,x2,y1,y2
0,./images/JPEG_20161123_170503_100079195103.png,0.2796875,0.871875,0.4166666666666667,0.5
1,./images/JPEG_20161202_162219_1000699486504.png,0.1515625,0.9453125,0.28541666666666665,0.8041666666666667
2,./images/1474630452246DSC08185.png,0.121875,0.934375,0.12291666666666666,0.90625
3,./images/147771751685420161028_142932.png,0.1515625,0.7625,0.17916666666666667,0.8166666666666667
4,./images/JPEG_20160607_163726_1000799717730.png,0.246875,0.7734375,0.04375,1.0
5,./images/JPEG_20161203_135216_1000678983907.png,0.1828125,0.90625,0.28125,0.975
6,./images/1480334834184_R2A3694.png,0.4140625,0.7921875,0.23541666666666666,0.86875
7,./images/JPEG_20161027_113040_1000590372035.png,0.36875,0.4515625,0.052083333333333336,0.8625
8,./images/1474634057253DSC05965.png,0.10625,0.9265625,0.125,0.6666666666666666
9,./images/JPEG_20161129_170658_100067472951.png,0.103125,0.790625,0.13333333333333333,0.8479166666666667
10,./images/1475056900480DSC02260.png,0.15625,0.9296875,0.1,0.825
11,./images/JPEG_20161117_153104_1000699024859.png,0.0,1.0,0.22083333333333333,0.9958333333333333
12,./images/147772281619920161028_160150.png,0.0515625,0.8890625,0.33541666666666664,0.7708333333333334
13,./images/JPEG_20160702_133545_10008265787.png,0.215625,0.8546875,0.10625,0.7916666666666666
14,./images/147772124079420161028_170142.png,0.1484375,0.8609375,0.38125,0.7270833333333333
15,./images/JPEG_20161201_122420_1000684783226.png,0.1546875,0.871875,0.08333333333333333,0.8375
16,./images/JPEG_20161028_134949_1000635671573.png,0.2375,0.734375,0.22083333333333333,0.8416666666666667
17,./images/JPEG_20160820_141712_1000600600655.png,0.059375,0.8046875,0.37083333333333335,0.7
18,./images/1475060009729DSC02425.png,0.090625,0.96875,0.25416666666666665,0.7145833333333333
19,./images/1469616339671JPEG_20160625_132134_1000739294871.png,0.2984375,0.878125,0.19583333333333333,0.86875
20,./images/1473314633782DeeplearnS11706.png,0.090625,0.8953125,0.3875,0.7020833333333333
21,./images/JPEG_20160623_125726_1000848928209.png,0.2515625,0.7875,0.20416666666666666,0.8104166666666667
22,./images/JPEG_20160513_111624_1000599503133.png,0.0390625,0.8109375,0.2875,0.8166666666666667
23,./images/JPEG_20160625_125015_1000460293914.png,0.2265625,0.5171875,0.43333333333333335,0.6104166666666667
24,./images/1474722971042DSC07864.png,0.390625,0.6203125,0.28541666666666665,0.8145833333333333
25,./images/JPEG_20160702_140031_1000336380127.png,0.1140625,0.846875,0.3125,0.6833333333333333
26,./images/JPEG_20160624_123733_1000548414065.png,0.08125,1.0,0.29375,0.5583333333333333
27,./images/1473752908341IMG_1340.png,0.3109375,0.7609375,0.20416666666666666,1.0
28,./images/JPEG_20160701_161159_1000725370827.png,0.096875,0.684375,0.3458333333333333,0.625
29,./images/1473315261965DeeplearnS11585.png,0.0953125,0.9046875,0.3958333333333333,0.6958333333333333
30,./images/1480511132955IMG_0231.png,0.1765625,0.9171875,0.21666666666666667,0.5791666666666667
31,./images/JPEG_20160608_172139_1000356492401.png,0.078125,0.8078125,0.075,0.875
32,./images/JPEG_20160630_160717_1000933493602.png,0.309375,0.75,0.16458333333333333,0.9458333333333333
